rank,mrmr_mean,mrmr_max,combined_mrmr,jmi,cmim
169,"value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""real""__coeff_9","value__fft_coefficient__attr_""real""__coeff_76","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4"
170,value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""angle""__coeff_74","value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4"
171,"value__fft_coefficient__attr_""abs""__coeff_88","value__fft_coefficient__attr_""angle""__coeff_68",value__friedrich_coefficients__coeff_0__m_3__r_30,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4"
172,"value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_58","value__fft_coefficient__attr_""abs""__coeff_86","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4"
173,"value__fft_coefficient__attr_""real""__coeff_70",value__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""max""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
174,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_73","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4"
175,"value__fft_coefficient__attr_""real""__coeff_98",value__variance,"value__fft_coefficient__attr_""imag""__coeff_41","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
176,value__ratio_value_number_to_time_series_length,value__range_count__max_1__min_-1,value__count_below_mean,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
177,"value__fft_coefficient__attr_""real""__coeff_95","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""var""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
178,"value__fft_coefficient__attr_""real""__coeff_13","value__fft_coefficient__attr_""angle""__coeff_93","value__fft_coefficient__attr_""imag""__coeff_97","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6"
179,"value__fft_coefficient__attr_""real""__coeff_97","value__fft_coefficient__attr_""imag""__coeff_63","value__fft_coefficient__attr_""abs""__coeff_53","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
180,"value__fft_coefficient__attr_""imag""__coeff_91","value__fft_coefficient__attr_""imag""__coeff_70","value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6"
181,"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.2__ql_0.0","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6"
182,value__spkt_welch_density__coeff_2,"value__fft_coefficient__attr_""angle""__coeff_11","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6"
183,value__time_reversal_asymmetry_statistic__lag_3,"value__fft_coefficient__attr_""real""__coeff_45","value__fft_coefficient__attr_""abs""__coeff_97","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
184,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_4","value__fft_coefficient__attr_""real""__coeff_15","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6"
185,"value__fft_coefficient__attr_""imag""__coeff_40",value__partial_autocorrelation__lag_2,"value__fft_coefficient__attr_""imag""__coeff_2","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6"
186,"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0","value__fft_coefficient__attr_""abs""__coeff_0","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8"
187,"value__fft_coefficient__attr_""abs""__coeff_75",value__mean_second_derivative_central,"value__fft_coefficient__attr_""abs""__coeff_93","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8"
188,"value__fft_coefficient__attr_""imag""__coeff_32","value__fft_coefficient__attr_""imag""__coeff_52","value__fft_coefficient__attr_""real""__coeff_44","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_0"
189,"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""var""","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6","value__fft_coefficient__attr_""real""__coeff_1"
190,"value__fft_coefficient__attr_""real""__coeff_15",value__partial_autocorrelation__lag_8,"value__fft_coefficient__attr_""angle""__coeff_63","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","value__fft_coefficient__attr_""real""__coeff_2"
191,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""max""","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""abs""__coeff_54","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6","value__fft_coefficient__attr_""real""__coeff_3"
192,"value__fft_coefficient__attr_""real""__coeff_48","value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""real""__coeff_70","value__fft_coefficient__attr_""real""__coeff_0","value__fft_coefficient__attr_""real""__coeff_4"
193,"value__fft_coefficient__attr_""real""__coeff_23","value__fft_coefficient__attr_""real""__coeff_8","value__fft_coefficient__attr_""real""__coeff_98","value__fft_coefficient__attr_""real""__coeff_1","value__fft_coefficient__attr_""real""__coeff_5"
194,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.0",value__has_duplicate,"value__fft_coefficient__attr_""abs""__coeff_27","value__fft_coefficient__attr_""real""__coeff_2","value__fft_coefficient__attr_""real""__coeff_6"
195,"value__fft_coefficient__attr_""real""__coeff_83","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0","value__fft_coefficient__attr_""real""__coeff_82","value__fft_coefficient__attr_""real""__coeff_3","value__fft_coefficient__attr_""real""__coeff_7"
196,"value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_78","value__fft_coefficient__attr_""abs""__coeff_59","value__fft_coefficient__attr_""real""__coeff_4","value__fft_coefficient__attr_""real""__coeff_8"
197,"value__fft_coefficient__attr_""imag""__coeff_94","value__fft_coefficient__attr_""angle""__coeff_92","value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_5","value__fft_coefficient__attr_""real""__coeff_9"
198,"value__fft_coefficient__attr_""abs""__coeff_53","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4","value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""real""__coeff_6","value__fft_coefficient__attr_""real""__coeff_10"
199,"value__fft_coefficient__attr_""imag""__coeff_97","value__fft_coefficient__attr_""angle""__coeff_31","value__fft_coefficient__attr_""imag""__coeff_21","value__fft_coefficient__attr_""real""__coeff_7","value__fft_coefficient__attr_""real""__coeff_11"
200,"value__fft_coefficient__attr_""imag""__coeff_85","value__fft_coefficient__attr_""real""__coeff_27",value__fourier_entropy__bins_10,"value__fft_coefficient__attr_""real""__coeff_8","value__fft_coefficient__attr_""real""__coeff_12"
201,value__quantile__q_0.7,"value__fft_aggregated__aggtype_""variance""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","value__fft_coefficient__attr_""real""__coeff_9","value__fft_coefficient__attr_""real""__coeff_13"
202,"value__fft_coefficient__attr_""real""__coeff_86","value__fft_coefficient__attr_""real""__coeff_59","value__fft_coefficient__attr_""real""__coeff_23","value__fft_coefficient__attr_""real""__coeff_10","value__fft_coefficient__attr_""real""__coeff_14"
203,value__mean_change,"value__fft_coefficient__attr_""imag""__coeff_41","value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_11","value__fft_coefficient__attr_""real""__coeff_15"
204,"value__fft_coefficient__attr_""imag""__coeff_89","value__fft_coefficient__attr_""imag""__coeff_69","value__fft_coefficient__attr_""abs""__coeff_47","value__fft_coefficient__attr_""real""__coeff_12","value__fft_coefficient__attr_""real""__coeff_16"
205,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","value__fft_coefficient__attr_""angle""__coeff_88","value__fft_coefficient__attr_""real""__coeff_13","value__fft_coefficient__attr_""real""__coeff_17"
206,"value__fft_coefficient__attr_""abs""__coeff_3","value__fft_coefficient__attr_""real""__coeff_32","value__fft_coefficient__attr_""abs""__coeff_74","value__fft_coefficient__attr_""real""__coeff_14","value__fft_coefficient__attr_""real""__coeff_18"
207,"value__fft_coefficient__attr_""real""__coeff_14","value__fft_coefficient__attr_""angle""__coeff_67",value__ar_coefficient__coeff_3__k_10,"value__fft_coefficient__attr_""real""__coeff_15","value__fft_coefficient__attr_""real""__coeff_19"
208,value__maximum,"value__fft_coefficient__attr_""real""__coeff_6","value__fft_coefficient__attr_""real""__coeff_95","value__fft_coefficient__attr_""real""__coeff_16","value__fft_coefficient__attr_""real""__coeff_20"
209,"value__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","value__fft_coefficient__attr_""abs""__coeff_71","value__fft_coefficient__attr_""real""__coeff_17","value__fft_coefficient__attr_""real""__coeff_21"
210,"value__fft_coefficient__attr_""imag""__coeff_55","value__fft_coefficient__attr_""imag""__coeff_80","value__fft_coefficient__attr_""real""__coeff_12","value__fft_coefficient__attr_""real""__coeff_18","value__fft_coefficient__attr_""real""__coeff_22"
211,"value__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""var""","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""var""","value__fft_coefficient__attr_""abs""__coeff_91","value__fft_coefficient__attr_""real""__coeff_19","value__fft_coefficient__attr_""real""__coeff_23"
212,"value__fft_coefficient__attr_""real""__coeff_63","value__fft_coefficient__attr_""real""__coeff_53","value__fft_coefficient__attr_""imag""__coeff_10","value__fft_coefficient__attr_""real""__coeff_20","value__fft_coefficient__attr_""real""__coeff_24"
213,"value__fft_coefficient__attr_""imag""__coeff_77","value__fft_coefficient__attr_""imag""__coeff_54","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_21","value__fft_coefficient__attr_""real""__coeff_25"
214,"value__fft_coefficient__attr_""imag""__coeff_50","value__fft_coefficient__attr_""real""__coeff_33","value__fft_coefficient__attr_""abs""__coeff_63","value__fft_coefficient__attr_""real""__coeff_22","value__fft_coefficient__attr_""real""__coeff_26"
215,"value__fft_coefficient__attr_""imag""__coeff_92","value__fft_coefficient__attr_""imag""__coeff_74","value__fft_coefficient__attr_""real""__coeff_94","value__fft_coefficient__attr_""real""__coeff_23","value__fft_coefficient__attr_""real""__coeff_27"
216,value__quantile__q_0.8,"value__fft_coefficient__attr_""imag""__coeff_68","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","value__fft_coefficient__attr_""real""__coeff_24","value__fft_coefficient__attr_""real""__coeff_28"
217,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",value__time_reversal_asymmetry_statistic__lag_2,"value__fft_coefficient__attr_""real""__coeff_50","value__fft_coefficient__attr_""real""__coeff_25","value__fft_coefficient__attr_""real""__coeff_29"
218,"value__fft_coefficient__attr_""imag""__coeff_22","value__fft_coefficient__attr_""angle""__coeff_46",value__number_peaks__n_50,"value__fft_coefficient__attr_""real""__coeff_26","value__fft_coefficient__attr_""real""__coeff_30"
219,"value__fft_coefficient__attr_""abs""__coeff_2",value__first_location_of_minimum,"value__fft_coefficient__attr_""angle""__coeff_92","value__fft_coefficient__attr_""real""__coeff_27","value__fft_coefficient__attr_""real""__coeff_31"
220,"value__fft_coefficient__attr_""imag""__coeff_49",value__count_below_mean,"value__fft_coefficient__attr_""real""__coeff_42","value__fft_coefficient__attr_""real""__coeff_28","value__fft_coefficient__attr_""real""__coeff_32"
221,"value__fft_coefficient__attr_""abs""__coeff_83","value__fft_coefficient__attr_""real""__coeff_28","value__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_29","value__fft_coefficient__attr_""real""__coeff_33"
222,"value__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","value__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0","value__fft_coefficient__attr_""real""__coeff_91","value__fft_coefficient__attr_""real""__coeff_30","value__fft_coefficient__attr_""real""__coeff_34"
223,"value__fft_coefficient__attr_""imag""__coeff_54","value__fft_coefficient__attr_""imag""__coeff_50","value__fft_coefficient__attr_""real""__coeff_84","value__fft_coefficient__attr_""real""__coeff_31","value__fft_coefficient__attr_""real""__coeff_35"
224,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""imag""__coeff_37","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","value__fft_coefficient__attr_""real""__coeff_32","value__fft_coefficient__attr_""real""__coeff_36"
225,value__index_mass_quantile__q_0.9,"value__fft_coefficient__attr_""imag""__coeff_86",value__quantile__q_0.7,"value__fft_coefficient__attr_""real""__coeff_33","value__fft_coefficient__attr_""real""__coeff_37"
226,"value__fft_coefficient__attr_""imag""__coeff_59","value__fft_coefficient__attr_""imag""__coeff_20","value__fft_coefficient__attr_""abs""__coeff_67","value__fft_coefficient__attr_""real""__coeff_34","value__fft_coefficient__attr_""real""__coeff_38"
227,"value__fft_coefficient__attr_""abs""__coeff_64","value__fft_coefficient__attr_""imag""__coeff_90","value__fft_coefficient__attr_""angle""__coeff_51","value__fft_coefficient__attr_""real""__coeff_35","value__fft_coefficient__attr_""real""__coeff_39"
228,"value__fft_coefficient__attr_""real""__coeff_50",value__large_standard_deviation__r_0.05,"value__fft_coefficient__attr_""real""__coeff_97","value__fft_coefficient__attr_""real""__coeff_36","value__fft_coefficient__attr_""real""__coeff_40"
229,"value__fft_coefficient__attr_""imag""__coeff_75","value__linear_trend__attr_""pvalue""",value__index_mass_quantile__q_0.7,"value__fft_coefficient__attr_""real""__coeff_37","value__fft_coefficient__attr_""real""__coeff_41"
230,"value__fft_coefficient__attr_""abs""__coeff_41","value__fft_coefficient__attr_""real""__coeff_66","value__fft_coefficient__attr_""real""__coeff_19","value__fft_coefficient__attr_""real""__coeff_38","value__fft_coefficient__attr_""real""__coeff_42"
231,"value__fft_coefficient__attr_""imag""__coeff_87","value__fft_coefficient__attr_""abs""__coeff_1","value__fft_coefficient__attr_""abs""__coeff_49","value__fft_coefficient__attr_""real""__coeff_39","value__fft_coefficient__attr_""real""__coeff_43"
232,"value__fft_coefficient__attr_""imag""__coeff_81","value__fft_coefficient__attr_""imag""__coeff_23","value__fft_aggregated__aggtype_""kurtosis""","value__fft_coefficient__attr_""real""__coeff_40","value__fft_coefficient__attr_""real""__coeff_44"
233,"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_51","value__fft_coefficient__attr_""imag""__coeff_99","value__fft_coefficient__attr_""real""__coeff_41","value__fft_coefficient__attr_""real""__coeff_45"
234,"value__fft_coefficient__attr_""abs""__coeff_70","value__fft_coefficient__attr_""imag""__coeff_49","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__fft_coefficient__attr_""real""__coeff_42","value__fft_coefficient__attr_""real""__coeff_46"
235,"value__fft_coefficient__attr_""imag""__coeff_58",value__ratio_beyond_r_sigma__r_2,"value__fft_coefficient__attr_""imag""__coeff_58","value__fft_coefficient__attr_""real""__coeff_43","value__fft_coefficient__attr_""real""__coeff_47"
236,"value__fft_coefficient__attr_""abs""__coeff_27","value__fft_coefficient__attr_""imag""__coeff_59","value__fft_coefficient__attr_""abs""__coeff_37","value__fft_coefficient__attr_""real""__coeff_44","value__fft_coefficient__attr_""real""__coeff_48"
237,"value__fft_coefficient__attr_""imag""__coeff_99","value__fft_coefficient__attr_""imag""__coeff_40","value__augmented_dickey_fuller__attr_""pvalue""__autolag_""AIC""","value__fft_coefficient__attr_""real""__coeff_45","value__fft_coefficient__attr_""real""__coeff_49"
238,"value__fft_coefficient__attr_""imag""__coeff_33","value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""imag""__coeff_67","value__fft_coefficient__attr_""real""__coeff_46","value__fft_coefficient__attr_""real""__coeff_50"
239,"value__fft_coefficient__attr_""abs""__coeff_4","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",value__quantile__q_0.8,"value__fft_coefficient__attr_""real""__coeff_47","value__fft_coefficient__attr_""real""__coeff_51"
240,"value__fft_coefficient__attr_""real""__coeff_67","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","value__fft_coefficient__attr_""abs""__coeff_58","value__fft_coefficient__attr_""real""__coeff_48","value__fft_coefficient__attr_""real""__coeff_52"
241,"value__cwt_coefficients__coeff_12__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_75","value__fft_coefficient__attr_""imag""__coeff_72","value__fft_coefficient__attr_""real""__coeff_49","value__fft_coefficient__attr_""real""__coeff_53"
242,"value__fft_coefficient__attr_""imag""__coeff_25","value__fft_coefficient__attr_""angle""__coeff_76",value__fourier_entropy__bins_100,"value__fft_coefficient__attr_""real""__coeff_50","value__fft_coefficient__attr_""real""__coeff_54"
243,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0","value__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","value__fft_coefficient__attr_""real""__coeff_51","value__fft_coefficient__attr_""real""__coeff_55"
244,"value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.4",value__partial_autocorrelation__lag_9,"value__fft_coefficient__attr_""real""__coeff_52","value__fft_coefficient__attr_""real""__coeff_56"
245,"value__fft_coefficient__attr_""imag""__coeff_45","value__fft_coefficient__attr_""imag""__coeff_82","value__fft_coefficient__attr_""abs""__coeff_90","value__fft_coefficient__attr_""real""__coeff_53","value__fft_coefficient__attr_""real""__coeff_57"
246,"value__fft_coefficient__attr_""abs""__coeff_71",value__energy_ratio_by_chunks__num_segments_10__segment_focus_2,"value__fft_coefficient__attr_""imag""__coeff_62","value__fft_coefficient__attr_""real""__coeff_54","value__fft_coefficient__attr_""real""__coeff_58"
247,"value__cwt_coefficients__coeff_7__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_91",value__maximum,"value__fft_coefficient__attr_""real""__coeff_55","value__fft_coefficient__attr_""real""__coeff_59"
248,"value__fft_coefficient__attr_""imag""__coeff_73","value__fft_coefficient__attr_""angle""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_57","value__fft_coefficient__attr_""real""__coeff_56","value__fft_coefficient__attr_""real""__coeff_60"
249,"value__fft_coefficient__attr_""imag""__coeff_96","value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","value__fft_coefficient__attr_""real""__coeff_81","value__fft_coefficient__attr_""real""__coeff_57","value__fft_coefficient__attr_""real""__coeff_61"
250,"value__fft_coefficient__attr_""real""__coeff_17","value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0","value__fft_coefficient__attr_""real""__coeff_83","value__fft_coefficient__attr_""real""__coeff_58","value__fft_coefficient__attr_""real""__coeff_62"
251,"value__agg_autocorrelation__f_agg_""median""__maxlag_40","value__fft_coefficient__attr_""imag""__coeff_45","value__fft_coefficient__attr_""abs""__coeff_82","value__fft_coefficient__attr_""real""__coeff_59","value__fft_coefficient__attr_""real""__coeff_63"
252,"value__fft_coefficient__attr_""angle""__coeff_63","value__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.0","value__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_60","value__fft_coefficient__attr_""real""__coeff_64"
253,"value__fft_coefficient__attr_""imag""__coeff_5","value__augmented_dickey_fuller__attr_""teststat""__autolag_""AIC""",value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""real""__coeff_61","value__fft_coefficient__attr_""real""__coeff_65"
254,"value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",value__cid_ce__normalize_False,"value__fft_coefficient__attr_""imag""__coeff_94","value__fft_coefficient__attr_""real""__coeff_62","value__fft_coefficient__attr_""real""__coeff_66"
255,"value__fft_coefficient__attr_""abs""__coeff_24","value__fft_coefficient__attr_""imag""__coeff_67","value__fft_coefficient__attr_""abs""__coeff_50","value__fft_coefficient__attr_""real""__coeff_63","value__fft_coefficient__attr_""real""__coeff_67"
256,"value__fft_coefficient__attr_""real""__coeff_12","value__fft_coefficient__attr_""abs""__coeff_53","value__fft_coefficient__attr_""real""__coeff_17","value__fft_coefficient__attr_""real""__coeff_64","value__fft_coefficient__attr_""real""__coeff_68"
257,value__energy_ratio_by_chunks__num_segments_10__segment_focus_8,"value__fft_coefficient__attr_""real""__coeff_31","value__fft_coefficient__attr_""real""__coeff_48","value__fft_coefficient__attr_""real""__coeff_65","value__fft_coefficient__attr_""real""__coeff_69"
258,"value__fft_coefficient__attr_""real""__coeff_19","value__fft_coefficient__attr_""angle""__coeff_19",value__fourier_entropy__bins_3,"value__fft_coefficient__attr_""real""__coeff_66","value__fft_coefficient__attr_""real""__coeff_70"
259,"value__fft_coefficient__attr_""imag""__coeff_9","value__fft_coefficient__attr_""imag""__coeff_93","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_67","value__fft_coefficient__attr_""real""__coeff_71"
260,"value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",value__friedrich_coefficients__coeff_1__m_3__r_30,"value__fft_coefficient__attr_""abs""__coeff_87","value__fft_coefficient__attr_""real""__coeff_68","value__fft_coefficient__attr_""real""__coeff_72"
261,"value__fft_coefficient__attr_""abs""__coeff_54","value__fft_coefficient__attr_""angle""__coeff_62","value__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""","value__fft_coefficient__attr_""real""__coeff_69","value__fft_coefficient__attr_""real""__coeff_73"
262,"value__fft_coefficient__attr_""imag""__coeff_17",value__ar_coefficient__coeff_8__k_10,"value__fft_coefficient__attr_""abs""__coeff_44","value__fft_coefficient__attr_""real""__coeff_70","value__fft_coefficient__attr_""real""__coeff_74"
263,"value__fft_coefficient__attr_""imag""__coeff_36","value__fft_coefficient__attr_""real""__coeff_16","value__fft_coefficient__attr_""real""__coeff_80","value__fft_coefficient__attr_""real""__coeff_71","value__fft_coefficient__attr_""real""__coeff_75"
264,"value__fft_coefficient__attr_""abs""__coeff_61","value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0","value__fft_coefficient__attr_""imag""__coeff_59","value__fft_coefficient__attr_""real""__coeff_72","value__fft_coefficient__attr_""real""__coeff_76"
265,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",value__has_duplicate_min,"value__fft_coefficient__attr_""real""__coeff_73","value__fft_coefficient__attr_""real""__coeff_77"
266,"value__fft_coefficient__attr_""imag""__coeff_63","value__fft_coefficient__attr_""imag""__coeff_88","value__fft_coefficient__attr_""abs""__coeff_46","value__fft_coefficient__attr_""real""__coeff_74","value__fft_coefficient__attr_""real""__coeff_78"
267,"value__cwt_coefficients__coeff_5__w_2__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""angle""__coeff_89","value__fft_coefficient__attr_""imag""__coeff_75","value__fft_coefficient__attr_""real""__coeff_75","value__fft_coefficient__attr_""real""__coeff_79"
268,"value__fft_coefficient__attr_""abs""__coeff_92","value__fft_coefficient__attr_""angle""__coeff_72","value__fft_coefficient__attr_""abs""__coeff_79","value__fft_coefficient__attr_""real""__coeff_76","value__fft_coefficient__attr_""real""__coeff_80"
269,"value__fft_coefficient__attr_""imag""__coeff_34","value__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","value__fft_coefficient__attr_""real""__coeff_63","value__fft_coefficient__attr_""real""__coeff_77","value__fft_coefficient__attr_""real""__coeff_81"
270,value__partial_autocorrelation__lag_2,"value__fft_coefficient__attr_""imag""__coeff_47","value__fft_coefficient__attr_""abs""__coeff_4","value__fft_coefficient__attr_""real""__coeff_78","value__fft_coefficient__attr_""real""__coeff_82"
271,"value__linear_trend__attr_""rvalue""",value__number_cwt_peaks__n_5,"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","value__fft_coefficient__attr_""real""__coeff_79","value__fft_coefficient__attr_""real""__coeff_83"
272,"value__fft_coefficient__attr_""angle""__coeff_0","value__fft_coefficient__attr_""imag""__coeff_10","value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0","value__fft_coefficient__attr_""real""__coeff_80","value__fft_coefficient__attr_""real""__coeff_84"
